Unnamed: 0,title,year,kind,genre,rating,vote,country,language,cast,director,composer,writer,runtime
0,The Last Journey 484,2003,tv series,Action,3.5,22194,UK,German,"Scarlett Johansson, Chris Evans, Amitabh Bachchan",Steven Spielberg,A R Rahman,Aaron Sorkin,112
1,Shadow Rise 157,2017,tv series,Drama,3.4,75048,UK,French,"Amitabh Bachchan, Chris Evans, John Smith",James Cameron,A R Rahman,Raju Murugan,136
2,Broken Paths 403,1987,tv series,Drama,6.6,72803,UK,English,"John Smith, Amitabh Bachchan, Emma Watson",James Cameron,Hans Zimmer,Aaron Sorkin,180
3,Broken Paths 72,2012,movie,Romance,1.3,10905,UK,English,"Emma Watson, John Smith, Scarlett Johansson",Christopher Nolan,A R Rahman,Aaron Sorkin,95
4,Broken Paths 443,2013,tv series,Thriller,8.5,22144,UK,Hindi,"Scarlett Johansson, Chris Evans, Amitabh Bachchan",Christopher Nolan,John Williams,Aaron Sorkin,139
5,Broken Paths 106,2018,movie,Drama,6.8,41996,Canada,French,"John Smith, Scarlett Johansson, Chris Evans",Steven Spielberg,Hans Zimmer,Quentin Tarantino,134
6,Shadow Rise 457,2006,movie,Comedy,6.4,77204,USA,French,"Chris Evans, Scarlett Johansson, Emma Watson",Steven Spielberg,John Williams,Raju Murugan,163
7,Broken Paths 58,2025,tv series,Thriller,7.2,85666,UK,German,"Scarlett Johansson, John Smith, Amitabh Bachchan",James Cameron,A R Rahman,Raju Murugan,132
8,Golden Dreams 288,2011,tv series,Romance,7.7,28506,India,English,"Emma Watson, Scarlett Johansson, Amitabh Bachchan",Christopher Nolan,Hans Zimmer,Raju Murugan,96
9,Shadow Rise 70,2010,movie,Romance,9.0,68784,India,Hindi,"Amitabh Bachchan, Emma Watson, John Smith",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,97
10,Broken Paths 187,2015,movie,Action,4.3,45621,Canada,German,"Scarlett Johansson, Amitabh Bachchan, John Smith",Steven Spielberg,Hans Zimmer,Raju Murugan,110
11,Silent Night 48,1990,movie,Drama,6.7,80978,India,French,"Scarlett Johansson, John Smith, Emma Watson",Steven Spielberg,A R Rahman,Raju Murugan,179
12,Broken Paths 315,1991,tv series,Action,6.8,64096,India,Spanish,"Amitabh Bachchan, John Smith, Scarlett Johansson",Rajkumar Hirani,Hans Zimmer,Aaron Sorkin,137
13,Broken Paths 64,1996,tv series,Thriller,4.2,57336,Canada,Spanish,"Amitabh Bachchan, John Smith, Chris Evans",James Cameron,John Williams,Raju Murugan,151
14,Broken Paths 276,1983,tv series,Comedy,3.9,13666,USA,French,"Emma Watson, John Smith, Scarlett Johansson",Christopher Nolan,John Williams,Quentin Tarantino,156
15,Broken Paths 312,1989,tv series,Comedy,3.9,36758,UK,English,"John Smith, Chris Evans, Emma Watson",James Cameron,A R Rahman,Raju Murugan,80
16,Silent Night 295,1982,movie,Romance,5.8,44905,Australia,French,"Amitabh Bachchan, Chris Evans, Emma Watson",James Cameron,Hans Zimmer,Quentin Tarantino,144
17,Silent Night 175,2015,tv series,Drama,7.9,92261,India,Hindi,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",Christopher Nolan,Hans Zimmer,Raju Murugan,99
18,Broken Paths 426,1997,tv series,Romance,5.4,30275,India,French,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",Rajkumar Hirani,Hans Zimmer,Raju Murugan,164
19,Broken Paths 198,2012,tv series,Action,2.5,45786,Canada,French,"Scarlett Johansson, Chris Evans, Emma Watson",Steven Spielberg,Hans Zimmer,Raju Murugan,123
20,Broken Paths 160,2025,tv series,Romance,7.1,75372,UK,French,"John Smith, Chris Evans, Emma Watson",Steven Spielberg,John Williams,Aaron Sorkin,116
21,Shadow Rise 438,1983,movie,Romance,9.4,5108,India,English,"Chris Evans, Scarlett Johansson, Emma Watson",Steven Spielberg,John Williams,Quentin Tarantino,141
22,Broken Paths 189,2024,tv series,Romance,9.3,94544,UK,German,"Amitabh Bachchan, John Smith, Chris Evans",James Cameron,John Williams,Quentin Tarantino,172
23,Broken Paths 185,1991,movie,Drama,3.5,4635,Australia,German,"Emma Watson, John Smith, Scarlett Johansson",Christopher Nolan,A R Rahman,Aaron Sorkin,165
24,Silent Night 113,1983,tv series,Action,3.7,81314,Australia,French,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",James Cameron,Hans Zimmer,Aaron Sorkin,134
25,Silent Night 217,2018,movie,Romance,4.0,11096,Australia,Spanish,"Chris Evans, Scarlett Johansson, John Smith",Rajkumar Hirani,John Williams,Aaron Sorkin,91
26,The Last Journey 284,1988,tv series,Romance,9.4,58553,Canada,English,"Scarlett Johansson, Amitabh Bachchan, Chris Evans",Rajkumar Hirani,Hans Zimmer,Aaron Sorkin,165
27,Silent Night 230,1990,movie,Thriller,9.3,27075,UK,Hindi,"Scarlett Johansson, Amitabh Bachchan, Chris Evans",Christopher Nolan,A R Rahman,Quentin Tarantino,106
28,Silent Night 485,2003,tv series,Romance,2.8,46409,UK,Hindi,"John Smith, Chris Evans, Scarlett Johansson",Steven Spielberg,A R Rahman,Raju Murugan,67
29,Broken Paths 205,2000,tv series,Action,5.4,28742,UK,Hindi,"Emma Watson, John Smith, Amitabh Bachchan",Steven Spielberg,Hans Zimmer,Quentin Tarantino,120
30,Golden Dreams 382,2001,movie,Drama,1.4,61749,Australia,Hindi,"Emma Watson, Amitabh Bachchan, Chris Evans",James Cameron,Hans Zimmer,Aaron Sorkin,68
31,The Last Journey 64,2003,tv series,Thriller,9.4,1203,UK,Hindi,"Emma Watson, Scarlett Johansson, Amitabh Bachchan",Rajkumar Hirani,Hans Zimmer,Raju Murugan,78
32,Broken Paths 193,2024,movie,Thriller,3.2,9972,USA,German,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Raju Murugan,180
33,The Last Journey 288,2008,movie,Thriller,3.3,72411,India,Spanish,"Scarlett Johansson, Emma Watson, John Smith",Rajkumar Hirani,John Williams,Quentin Tarantino,92
34,Broken Paths 39,1981,movie,Thriller,5.2,50515,UK,French,"Emma Watson, John Smith, Scarlett Johansson",Christopher Nolan,John Williams,Raju Murugan,136
35,The Last Journey 238,2007,movie,Drama,5.9,69172,India,German,"Scarlett Johansson, Chris Evans, Emma Watson",Christopher Nolan,A R Rahman,Aaron Sorkin,157
36,The Last Journey 140,2010,movie,Drama,1.7,90981,Australia,English,"Emma Watson, Amitabh Bachchan, John Smith",Steven Spielberg,A R Rahman,Aaron Sorkin,135
37,Broken Paths 439,1985,movie,Romance,5.8,77391,Australia,French,"John Smith, Emma Watson, Chris Evans",Rajkumar Hirani,A R Rahman,Raju Murugan,96
38,Silent Night 61,1998,movie,Comedy,8.2,96168,USA,English,"John Smith, Emma Watson, Scarlett Johansson",James Cameron,John Williams,Quentin Tarantino,155
39,Golden Dreams 367,2018,movie,Comedy,2.8,43071,Australia,Hindi,"Emma Watson, Scarlett Johansson, Chris Evans",James Cameron,A R Rahman,Aaron Sorkin,110
40,The Last Journey 35,1984,tv series,Thriller,7.1,81156,USA,English,"Emma Watson, John Smith, Scarlett Johansson",Rajkumar Hirani,John Williams,Quentin Tarantino,75
41,Shadow Rise 268,2002,movie,Comedy,3.1,63328,India,German,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",Steven Spielberg,A R Rahman,Quentin Tarantino,99
42,Shadow Rise 272,2013,tv series,Romance,1.4,44131,Australia,English,"Emma Watson, Scarlett Johansson, John Smith",Steven Spielberg,John Williams,Quentin Tarantino,102
43,Silent Night 135,2011,tv series,Comedy,2.1,68659,Canada,German,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",Rajkumar Hirani,A R Rahman,Quentin Tarantino,86
44,Golden Dreams 18,2019,movie,Comedy,6.0,64152,USA,German,"Scarlett Johansson, John Smith, Emma Watson",James Cameron,Hans Zimmer,Quentin Tarantino,123
45,Shadow Rise 238,2022,movie,Comedy,4.0,54183,Australia,German,"Scarlett Johansson, Amitabh Bachchan, Chris Evans",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,94
46,Silent Night 346,2001,movie,Action,2.8,28597,Australia,French,"John Smith, Chris Evans, Scarlett Johansson",Steven Spielberg,John Williams,Aaron Sorkin,157
47,The Last Journey 14,2019,tv series,Action,8.5,6510,Australia,French,"Emma Watson, Scarlett Johansson, John Smith",Christopher Nolan,John Williams,Aaron Sorkin,63
48,Broken Paths 28,1988,tv series,Thriller,7.9,57386,Canada,Spanish,"Scarlett Johansson, Amitabh Bachchan, John Smith",James Cameron,John Williams,Quentin Tarantino,75
49,Silent Night 373,2001,movie,Drama,8.3,48418,UK,French,"John Smith, Emma Watson, Scarlett Johansson",Rajkumar Hirani,John Williams,Raju Murugan,66
50,Broken Paths 275,1980,movie,Thriller,5.4,5260,UK,French,"Scarlett Johansson, John Smith, Amitabh Bachchan",Christopher Nolan,Hans Zimmer,Raju Murugan,164
51,Silent Night 78,2016,movie,Action,5.7,38207,Canada,English,"Emma Watson, Scarlett Johansson, Amitabh Bachchan",Christopher Nolan,A R Rahman,Raju Murugan,68
52,Silent Night 46,1988,tv series,Action,4.0,82890,India,English,"Amitabh Bachchan, John Smith, Scarlett Johansson",Christopher Nolan,A R Rahman,Aaron Sorkin,72
53,Shadow Rise 172,2025,movie,Drama,7.5,38176,Canada,English,"John Smith, Amitabh Bachchan, Scarlett Johansson",James Cameron,John Williams,Aaron Sorkin,127
54,Silent Night 11,1986,tv series,Thriller,1.0,73277,UK,Spanish,"John Smith, Amitabh Bachchan, Chris Evans",James Cameron,Hans Zimmer,Raju Murugan,159
55,Broken Paths 453,1985,tv series,Romance,6.2,28419,USA,German,"Scarlett Johansson, Emma Watson, John Smith",Steven Spielberg,John Williams,Aaron Sorkin,139
56,Shadow Rise 77,1996,tv series,Comedy,7.0,81160,USA,French,"Scarlett Johansson, John Smith, Amitabh Bachchan",Steven Spielberg,John Williams,Raju Murugan,180
57,Broken Paths 420,2017,tv series,Action,5.0,6624,USA,English,"Chris Evans, John Smith, Emma Watson",Steven Spielberg,Hans Zimmer,Raju Murugan,91
58,Shadow Rise 496,1984,movie,Romance,5.6,9309,Australia,German,"Chris Evans, Emma Watson, Amitabh Bachchan",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,150
59,Shadow Rise 200,2014,movie,Comedy,2.7,42955,UK,French,"Chris Evans, Emma Watson, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Quentin Tarantino,170
60,The Last Journey 409,2019,tv series,Romance,2.3,58304,Canada,Spanish,"Chris Evans, Scarlett Johansson, Emma Watson",Steven Spielberg,Hans Zimmer,Raju Murugan,114
61,The Last Journey 242,1986,movie,Action,5.4,87859,Canada,German,"Scarlett Johansson, Amitabh Bachchan, Emma Watson",Christopher Nolan,A R Rahman,Quentin Tarantino,70
62,Shadow Rise 493,1992,movie,Thriller,1.1,53047,India,German,"John Smith, Chris Evans, Amitabh Bachchan",Christopher Nolan,A R Rahman,Aaron Sorkin,71
63,Golden Dreams 232,2020,tv series,Drama,9.0,94425,Canada,Hindi,"Amitabh Bachchan, John Smith, Scarlett Johansson",Christopher Nolan,A R Rahman,Aaron Sorkin,103
64,Silent Night 144,2003,movie,Thriller,9.5,89827,India,German,"Chris Evans, Scarlett Johansson, Amitabh Bachchan",James Cameron,John Williams,Quentin Tarantino,78
65,The Last Journey 401,2009,movie,Comedy,3.8,6038,India,Hindi,"Emma Watson, John Smith, Chris Evans",James Cameron,John Williams,Aaron Sorkin,65
66,The Last Journey 293,1985,movie,Action,8.1,82335,Canada,German,"Emma Watson, John Smith, Scarlett Johansson",James Cameron,John Williams,Aaron Sorkin,99
67,Silent Night 75,1985,movie,Romance,5.8,92516,Canada,French,"John Smith, Scarlett Johansson, Emma Watson",Christopher Nolan,A R Rahman,Quentin Tarantino,116
68,Silent Night 306,1983,tv series,Action,8.2,38180,Australia,English,"Emma Watson, Scarlett Johansson, Chris Evans",Rajkumar Hirani,John Williams,Aaron Sorkin,70
69,Broken Paths 246,2014,movie,Thriller,6.2,10205,Canada,Hindi,"Chris Evans, Scarlett Johansson, Emma Watson",Steven Spielberg,A R Rahman,Raju Murugan,122
70,Golden Dreams 201,1994,tv series,Comedy,6.2,23041,UK,English,"Scarlett Johansson, Chris Evans, John Smith",Rajkumar Hirani,John Williams,Quentin Tarantino,80
71,Golden Dreams 191,1999,movie,Action,8.0,82887,UK,English,"Scarlett Johansson, Amitabh Bachchan, Emma Watson",Steven Spielberg,A R Rahman,Quentin Tarantino,134
72,Golden Dreams 119,2009,tv series,Comedy,4.9,97816,Australia,German,"Amitabh Bachchan, Scarlett Johansson, John Smith",James Cameron,John Williams,Quentin Tarantino,177
73,The Last Journey 119,2006,movie,Thriller,7.0,88258,USA,Hindi,"Emma Watson, Amitabh Bachchan, Chris Evans",Christopher Nolan,John Williams,Aaron Sorkin,117
74,Golden Dreams 215,2003,movie,Comedy,2.0,64165,UK,German,"Chris Evans, Scarlett Johansson, Emma Watson",Christopher Nolan,Hans Zimmer,Aaron Sorkin,129
75,Golden Dreams 191,2024,movie,Comedy,2.3,84070,Canada,German,"Emma Watson, Scarlett Johansson, Amitabh Bachchan",Steven Spielberg,Hans Zimmer,Raju Murugan,163
76,Golden Dreams 93,1981,movie,Action,4.3,17709,UK,English,"John Smith, Chris Evans, Amitabh Bachchan",Steven Spielberg,A R Rahman,Aaron Sorkin,179
77,Golden Dreams 172,2018,tv series,Comedy,7.7,55967,USA,German,"Chris Evans, John Smith, Emma Watson",Rajkumar Hirani,John Williams,Raju Murugan,134
78,Shadow Rise 448,2010,movie,Romance,2.3,20028,Canada,German,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",Rajkumar Hirani,Hans Zimmer,Raju Murugan,64
79,Shadow Rise 95,1988,movie,Drama,5.4,91631,UK,German,"Emma Watson, John Smith, Chris Evans",Steven Spielberg,John Williams,Quentin Tarantino,162
80,Shadow Rise 4,1999,movie,Drama,2.1,12247,Australia,French,"Amitabh Bachchan, Scarlett Johansson, John Smith",Rajkumar Hirani,John Williams,Quentin Tarantino,121
81,Silent Night 147,2017,movie,Romance,9.4,16953,USA,French,"Emma Watson, John Smith, Chris Evans",James Cameron,A R Rahman,Quentin Tarantino,112
82,Broken Paths 201,2014,movie,Action,3.5,46693,Australia,French,"John Smith, Scarlett Johansson, Amitabh Bachchan",Rajkumar Hirani,John Williams,Aaron Sorkin,74
83,Golden Dreams 287,1989,movie,Comedy,2.3,88176,UK,German,"Emma Watson, Amitabh Bachchan, John Smith",James Cameron,John Williams,Quentin Tarantino,90
84,Silent Night 326,1980,movie,Drama,8.4,76959,Australia,English,"Chris Evans, John Smith, Scarlett Johansson",Rajkumar Hirani,John Williams,Aaron Sorkin,165
85,Broken Paths 323,2007,tv series,Thriller,2.6,97469,India,English,"Amitabh Bachchan, Scarlett Johansson, Chris Evans",James Cameron,A R Rahman,Aaron Sorkin,62
86,The Last Journey 142,1997,movie,Comedy,4.7,42140,India,Hindi,"Emma Watson, Scarlett Johansson, Chris Evans",Steven Spielberg,Hans Zimmer,Raju Murugan,84
87,Silent Night 10,2022,movie,Comedy,5.2,53194,Australia,Hindi,"Emma Watson, Amitabh Bachchan, John Smith",James Cameron,John Williams,Aaron Sorkin,117
88,Shadow Rise 353,1987,movie,Drama,6.6,83971,UK,Spanish,"Amitabh Bachchan, Scarlett Johansson, Chris Evans",Christopher Nolan,Hans Zimmer,Quentin Tarantino,162
89,Shadow Rise 318,1991,tv series,Romance,7.2,43686,Australia,Hindi,"Scarlett Johansson, John Smith, Emma Watson",Christopher Nolan,A R Rahman,Raju Murugan,110
90,The Last Journey 72,1985,movie,Action,5.6,67457,Australia,German,"Scarlett Johansson, Emma Watson, Chris Evans",James Cameron,Hans Zimmer,Quentin Tarantino,75
91,The Last Journey 446,1993,tv series,Drama,2.6,92016,USA,Hindi,"John Smith, Amitabh Bachchan, Scarlett Johansson",James Cameron,A R Rahman,Aaron Sorkin,167
92,Silent Night 188,1995,movie,Comedy,1.3,72183,USA,English,"Scarlett Johansson, John Smith, Emma Watson",James Cameron,A R Rahman,Raju Murugan,78
93,Silent Night 22,1996,tv series,Drama,7.5,81166,Canada,Hindi,"Amitabh Bachchan, Emma Watson, Chris Evans",Christopher Nolan,A R Rahman,Raju Murugan,135
94,The Last Journey 243,1988,tv series,Romance,3.2,95232,Canada,English,"Chris Evans, John Smith, Emma Watson",Christopher Nolan,John Williams,Quentin Tarantino,163
95,Golden Dreams 41,2019,movie,Romance,7.0,7774,Canada,Spanish,"Scarlett Johansson, Emma Watson, John Smith",James Cameron,A R Rahman,Raju Murugan,71
